	sentence1	sentence2	class	pred	actual
3	‘குளச்சல் அருகே துறைமுகம் கட்டுவது சரியல்ல. இந்த பிரச்சி னை குறித்து பிரதமர் மோடியை சந்தித்து முறையிடுவேன்’’ என்று கேரள முதல்வர் பினராயி விஜயன் கூறியுள்ளார்	குளச்சலில் துறைமுகம் ஏற்படுத்த பிரதமர் மோடியிடம் எதிர்ப்பு தெரிவிப்பேன்: சட்டப்பேரவையில் கேரள முதல்வர் பதில்	P	1.0	0.0
36	அசாம் மாநிலத்தில் தொடர்ந்து பெய்துவரும் கனமழையால் வெள்ளப்பெருக்கு ஏற்பட்டுள்ள தால் 1 லட்சத்துக்கும் மேற்பட்டோர் பாதிக்கப்பட்டுள்ளனர்.	அசாமில் கனமழையால் ஒரு லட்சத்திற்கும் அதிகமானோர் பாதிக்கப்பட்டுள்ளனர்	P	1.0	0.0
42	அணு எரிபொருள் வழங்கும் நாடுகள் (நியூக்ளியர் சப்ளையர்ஸ் குரூப்) நாடுகளில் இந்தியாவை உறுப்பினராக அங்கீகரிக்க மெக்சிகோ ஆதரவு தெரிவித்துள்ளது.	அணுசக்தி விநியோக நாடுகள் குழுவில் இந்தியா இடம்பெற மெக்சிகோ ஆதரவு	P	1.0	0.0
53	அதிகார வெறி காரணமாக, மக்களின் தீர்ப்புக்கு நரேந்திர மோடி அரசு மதிப்பளிப்பதில்லை என காங்கிரஸ் தலைவர் சோனியா காந்தி குற்றம்சாட்டியுள்ளார்.	மோடி அரசுக்கு அதிகார வெறி: சோனியா காந்தி குற்றச்சாட்டு	P	1.0	0.0
59	அமர்நாத் குகைக் கோயில் தரிசனத்துக்கு திறக்கப்பட்ட 6 நாள் வரை 86 ஆயிரத்துக்கும் மேற்பட்ட யாத்திரிகர்கள் பனி லிங்கத்தை தரிசனம் செய்துள்ளனர்.	அமர்நாத் குகை கோயிலில் 86 ஆயிரம் பக்தர்கள் தரிசனம்	P	1.0	0.0
61	அமெரிக்க அதிபர் ஒபாமா அடிக்கடி பிரதமர் மோடியை சந்திப்பதன் பின்னணி குறித்து சீன அரசு ஊடகம் எச்சரிக்கை தொனியுடன் கட்டுரை எழுதியுள்ளது	சில ஆண்டுகளுக்கு முன் அமெரிக்கா நுழைய தடை விதிக்கப்பட்ட மோடிக்கு இன்று சிறப்பு வரவேற்பு: வியப்புடன் சீன அரசு ஊடகம் எச்சரிக்கை	P	1.0	0.0
70	அமெரிக்காவின் மிக நெருங்கிய நட்புநாடாக இந்தியா மாறி வரு கிறது என்று அந்த நாட்டு பிரதி நிதிகள் சபையின் சபாநாயகர் பால் ரயன் தெரிவித்துள்ளார்	அமெரிக்காவின் நண்பன் இந்தியா: சபாநாயகர் பால்ரயன் புகழாரம்	P	1.0	0.0
71	அமெரிக்காவின் மிக நெருங்கிய நட்புநாடாக இந்தியா மாறி வரு கிறது என்று அந்த நாட்டு பிரதி நிதிகள் சபையின் சபாநாயகர் பால் ரயன் தெரிவித்துள்ளார்	அமெரிக்காவின் நண்பன் இந்தியா: சபாநாயகர்பால்ரயன்புகழாரம்	P	1.0	0.0
79	அர்விந்த் கேஜ்ரிவால் அமர்தசரஸ் பொற்கோயிலுக்கு வந்து, சமையலறையில் பாத்திரங்களைக் கழுவி பிராயசித்தம் தேடிக்கெண்டார்	சீக்கியர் மனதை புண்படுத்தியதற்கு பிராயசித்தம்: பொற்கோயிலில் பாத்திரம் கழுவிய கேஜ்ரிவால்	P	1.0	0.0
96	அனைத்து பிரச்னைகளையும் விவாதிக்க, ஒப்புக் கொண்டால் மட்டுமே, பேச்சில் பாகிஸ்தான் பங்கேற்கும்என, அந்நாட்டு தேசிய பாதுகாப்பு ஆலோசகர், சர்தாஜ் அஜீஸ் திட்டவட்டமாக தெரிவித்து உள்ளார்.	அனைத்தையும்விவாதித்தால் மட்டுமே பேச்சுவார்த்தையை தொடரமுடியும் என பாகிஸ்தான் திட்டவட்டம்	P	1.0	0.0
