	sentence1	sentence2	class	pred	actual
11	 इसमें लिक्विड प्रोपल्शन टि्वन इंजन लगे हैं। 	एडवांस टेक्नोलॉजी वाली पृथ्वी-दो मिसाइल में दो इंजन लगाए गए हैं।	P	1.0	0.0
179	इसके साथ ही   इसी हफ्ते  के अन्त  में सीबीआइ एसपी त्यागी के तीनों भाइयों से भी पूछताछ करेगी। 	इस सप्ताह के अंत में वह त्यागी के रिश्तेदारों - संजीव, राजीव और संदीप से पूछताछ करने जा रही है.	P	1.0	0.0
183	इसरो (भारतीय अंतरिक्ष अनुसंधान संगठन) पहली बार देश में बने दोबारा इस्तेमाल हो सकने लायक स्पेस शटल को सोमवार को लॉन्च कर दिया। 	आंध्र प्रदेश के श्रीहरिकोटा से आज सुबह पहला स्वदेशी स्पेस शटल  आरएलवी-टीडी  का सफल प्रक्षेपण किया गया। 	P	1.0	0.0
202	इसे दोबारा से यूज किया जा सकेगा।	ये एक रियूजेबल लॉन्च व्हीकल है	P	1.0	0.0
228	उत्तराखंड में जंगलों में लगी आग के विकराल रूप धारण कर लेने के बाद एनडीआरएफ के साथ-साथ एयरफोर्स को भी इसे बुझाने के लिए लगाया गया|	उत्तराखंड में एनडीआरएफ, एसडीआरएफ और थलसेना के जवान आग बुझाने की लगातार कोशिशें कर रहे हैं। 	P	1.0	0.0
257	उन्होंने कहा कि  हालिया घटनाक्रम यह दर्शाते हैं कि मुझे निष्पक्ष मुकदमा या न्याय नहीं मिलेगा	'हाल में हुई घटनाएं ये संकेत देती हैं कि मेरे साथ इंसाफ नहीं होगा	P	1.0	0.0
433	तीन सौ प्च्चास  किमी तक मार करने वाली पृथ्वी-दो मिसाइल का सफल प्रक्षेपण 	भारत ने आज परमाणु क्षमता संपन्न और स्वदेश में विकसित ‘पृथ्वी दो’ मिसाइल का सफल प्रक्षेपण किया	P	1.0	0.0
512	पुलिस ने अनुसार, यह घटना दिन-दहाड़े हुई है 	पुलिस को संदेह है कि उस पर दोपहर एक से पांच बजे के बीच हमला हुआ है।	P	1.0	0.0
627	मामले में अब तक कोई गिरफ्तारी नहीं हुई है।	मामले में अब तक पुलीस ने किसी को भी अरेस्ट मही किया है|	P	1.0	0.0
741	रियो ओलंपिक के लिए देश का सद्भावना दूत बनेंगे 'मास्‍टर ब्‍लास्‍टर'	सचिन तेंदुलकर होंगे रियो ओलंपिक के गुडविल ब्रांड एंबेसडर	P	1.0	0.0
792	सचिन तेंदुलकर होंगे रियो ओलंपिक के गुडविल ब्रांड एंबेसडर	रियो ओलंपिक के लिए देश का सद्भावना दूत बनेंगे 'मास्‍टर ब्‍लास्‍टर'	P	1.0	0.0
805	सतायीस  दिसंबर को जहां सलमान अपना इक्कावन वां जन्मदिन मनाएंगे उसी दिन वो अपनी शादी के लिए घोड़ी भी चढ़ेंगे।	मीडिया में आई रिपोर्ट्स के मुताबिक, सतायीस  दिसंबर यानी अपने 51वे बर्थडे पर सलमान लूलिया से शादी कर लेंगे	P	1.0	0.0
856	सोमैया ने दावा किया है कि ये सब घोटाले इनकी मिलीभगत से हुआ है। 	उन्होंने दावा किया है कि अगस्ता वैस्टलैंड हैलीकॉप्टर घोटाले  और कॉमनवेल्थ घोटाले में कनिष्क का सहयोग है	P	1.0	0.0
866	स्थित‌ि को देखकर लगता है कि उसके साथ निर्भयाकांड से भी ज्यादा वीभत्सता से दरिंदगी की गई है। 	उसकी हत्या  दिसम्बर 2012 में दिल्ली में फिजियोथैरेपी की स्टूडैंट के साथ हुए गैंगरेप  से भी  भयानक थी	P	1.0	0.0
878	हालांकि अब पुलिस उस व्यक्ति की तलाश में है जिसने बम होने की झूठी सूचना दी। 	फिलहाल पुलिस द्वारा अफवाह फैलाने वाले नंबर की जांच की जा रही है	P	1.0	0.0
881	हालिया घटनाक्रम से जाहिर होता है कि मुझे न्याय नहीं मिलेगा|	हाल में हुई घटनाएं ये संकेत देती हैं कि मेरे साथ इंसाफ नहीं होगा|	P	1.0	0.0
892	हेलिकॉप्टर डील: खुद पर उठे सवाल तो राहुल ने कहा- टारगेट बनने से खुश हूं	अगस्ता वैस्टलैंड: 'मुझे निशाना बनाया जाता है फिर भी मैं खुश हूं'	P	1.0	0.0
